Name,Symbol,Price,Percent Change,Percent Change 7 days,Market Cap,Volume 24 Hr,Circulating Supply,Pull Time
Bitcoin,BTC,"$38,950.16",0.39%,0.58%,$739.32B,"$739,323,452,607","18,981,268",2022-03-12 10:42:01
Ethereum,ETH,"$2,573.65",0.51%,2.72%,$308.66B,"$308,659,046,565","119,930,253",2022-03-12 10:42:01
Tether,USDT,$1.00,0.01%,0.01%,$80.07B,"$80,072,532,131","80,062,716,113",2022-03-12 10:42:01
BNB,BNB,$376.14,0.99%,1.08%,$62.11B,"$62,106,821,863","165,116,761",2022-03-12 10:42:01
USD Coin,USDC,$1,0.04%,0.08%,$52.39B,"$52,390,037,595","52,390,482,909",2022-03-12 10:42:01
XRP,XRP,$0.7905,8.05%,4.01%,$37.98B,"$37,980,196,616","48,046,106,688",2022-03-12 10:42:01
Terra,LUNA,$89.10,4.93%,6.34%,$33.35B,"$33,353,641,230","374,333,985",2022-03-12 10:42:01
Cardano,ADA,$0.7931,0.52%,7.96%,$26.72B,"$26,718,631,253","33,687,417,302",2022-03-12 10:42:01
Solana,SOL,$81.58,0.15%,8.50%,$26.08B,"$26,077,486,651","319,644,202",2022-03-12 10:42:01
