Name,Symbol,Price,Percent Change,Percent Change 7 days,Market Cap,Volume 24 Hr,Circulating Supply,Pull Time
Bitcoin,BTC,"$38,924.97",0.57%,0.57%,$738.85B,"$738,845,358,298","18,981,268",2022-03-12 10:17:30
Ethereum,ETH,"$2,573.31",0.89%,2.67%,$308.62B,"$308,617,559,693","119,930,253",2022-03-12 10:17:30
Tether,USDT,$1.00,0.02%,0.02%,$80.07B,"$80,074,451,491","80,062,716,113",2022-03-12 10:17:30
BNB,BNB,$376.20,0.87%,1.07%,$62.12B,"$62,116,647,926","165,116,761",2022-03-12 10:17:30
USD Coin,USDC,$0.9998,0.02%,0.01%,$52.38B,"$52,382,081,012","52,390,482,909",2022-03-12 10:17:30
XRP,XRP,$0.7862,7.32%,3.35%,$37.78B,"$37,775,089,471","48,046,106,688",2022-03-12 10:17:30
Terra,LUNA,$89.33,4.94%,6.07%,$33.44B,"$33,439,014,020","374,333,985",2022-03-12 10:17:30
Cardano,ADA,$0.7927,0.84%,7.98%,$26.70B,"$26,703,760,987","33,687,417,302",2022-03-12 10:17:30
Solana,SOL,$81.26,0.71%,8.77%,$25.97B,"$25,974,571,347","319,644,202",2022-03-12 10:17:30
