Name,Symbol,Price,Percent Change,Percent Change 7 days,Market Cap,Volume 24 Hr,Circulating Supply,Pull Time
Bitcoin,BTC,"$38,951.52",0.54%,0.52%,$739.35B,"$739,349,211,585","18,981,268",2022-03-12 10:36:32
Ethereum,ETH,"$2,574.13",0.72%,2.62%,$308.72B,"$308,716,392,201","119,930,253",2022-03-12 10:36:32
Tether,USDT,$1.00,0.01%,0.01%,$80.07B,"$80,074,050,089","80,062,716,113",2022-03-12 10:36:32
BNB,BNB,$376.03,0.73%,1.09%,$62.09B,"$62,088,289,827","165,116,761",2022-03-12 10:36:32
USD Coin,USDC,$0.9999,0.03%,0.00%,$52.39B,"$52,387,758,081","52,390,482,909",2022-03-12 10:36:32
XRP,XRP,$0.791,7.98%,4.25%,$38.00B,"$38,003,071,675","48,046,106,688",2022-03-12 10:36:32
Terra,LUNA,$89.03,5.42%,6.27%,$33.33B,"$33,326,478,006","374,333,985",2022-03-12 10:36:32
Cardano,ADA,$0.7932,0.72%,7.86%,$26.72B,"$26,719,615,893","33,687,417,302",2022-03-12 10:36:32
Solana,SOL,$81.43,0.62%,8.62%,$26.03B,"$26,027,162,566","319,644,202",2022-03-12 10:36:32
