Name,Symbol,Price,Percent Change,Percent Change 7 days,Market Cap,Volume 24 Hr,Circulating Supply,Pull Time
Bitcoin,BTC,"$38,921.69",0.49%,0.64%,$738.78B,"$738,782,951,684","18,981,268",2022-03-12 10:22:14
Ethereum,ETH,"$2,572.84",0.69%,2.77%,$308.56B,"$308,560,897,321","119,930,253",2022-03-12 10:22:14
Tether,USDT,$1.00,0.01%,0.01%,$80.07B,"$80,072,235,428","80,062,716,113",2022-03-12 10:22:14
BNB,BNB,$375.94,0.93%,1.23%,$62.07B,"$62,073,526,477","165,116,761",2022-03-12 10:22:14
USD Coin,USDC,$0.9999,0.03%,0.01%,$52.39B,"$52,385,016,393","52,390,482,909",2022-03-12 10:22:14
XRP,XRP,$0.7881,7.69%,3.35%,$37.86B,"$37,864,070,364","48,046,106,688",2022-03-12 10:22:14
Terra,LUNA,$89.30,4.83%,6.06%,$33.43B,"$33,428,648,016","374,333,985",2022-03-12 10:22:14
Cardano,ADA,$0.7926,0.74%,8.06%,$26.70B,"$26,699,367,943","33,687,417,302",2022-03-12 10:22:14
Solana,SOL,$81.23,0.68%,8.90%,$25.96B,"$25,963,329,178","319,644,202",2022-03-12 10:22:14
