Name,Symbol,Price,Percent Change,Percent Change 7 days,Market Cap,Volume 24 Hr,Circulating Supply,Pull Time
Bitcoin,BTC,"$38,934.01",0.51%,0.56%,$739.02B,"$739,016,900,679","18,981,268",2022-03-12 10:21:23
Ethereum,ETH,"$2,573.66",0.79%,2.69%,$308.66B,"$308,659,393,030","119,930,253",2022-03-12 10:21:23
Tether,USDT,$1.00,0.01%,0.00%,$80.07B,"$80,073,870,617","80,062,716,113",2022-03-12 10:21:23
BNB,BNB,$376.11,0.90%,1.14%,$62.10B,"$62,102,738,618","165,116,761",2022-03-12 10:21:23
USD Coin,USDC,$0.9998,0.03%,0.01%,$52.38B,"$52,381,752,641","52,390,482,909",2022-03-12 10:21:23
XRP,XRP,$0.7876,7.51%,3.44%,$37.84B,"$37,841,618,849","48,046,106,688",2022-03-12 10:21:23
Terra,LUNA,$89.37,4.82%,6.12%,$33.45B,"$33,453,994,016","374,333,985",2022-03-12 10:21:23
Cardano,ADA,$0.7927,0.76%,8.03%,$26.70B,"$26,704,290,790","33,687,417,302",2022-03-12 10:21:23
Solana,SOL,$81.26,0.70%,8.82%,$25.97B,"$25,973,860,665","319,644,202",2022-03-12 10:21:23
