Name,Symbol,Price,Percent Change,Percent Change 7 days,Market Cap,Volume 24 Hr,Circulating Supply,Pull Time
Bitcoin,BTC,"$38,946.56",0.60%,0.59%,$739.26B,"$739,255,179,275","18,981,268",2022-03-12 10:14:14
Ethereum,ETH,"$2,574.34",1.04%,2.68%,$308.74B,"$308,741,460,257","119,930,253",2022-03-12 10:14:14
Tether,USDT,$1.00,0.02%,0.00%,$80.08B,"$80,076,664,322","80,062,716,113",2022-03-12 10:14:14
BNB,BNB,$376.34,0.79%,1.04%,$62.14B,"$62,139,692,382","165,116,761",2022-03-12 10:14:14
USD Coin,USDC,$1,0.05%,0.01%,$52.39B,"$52,389,616,048","52,390,482,909",2022-03-12 10:14:14
XRP,XRP,$0.7868,7.18%,3.51%,$37.80B,"$37,800,839,031","48,046,106,688",2022-03-12 10:14:14
Terra,LUNA,$89.52,4.96%,5.83%,$33.51B,"$33,509,429,162","374,333,985",2022-03-12 10:14:14
Cardano,ADA,$0.7928,0.93%,7.98%,$26.71B,"$26,708,960,985","33,687,417,302",2022-03-12 10:14:14
Solana,SOL,$81.29,0.91%,8.79%,$25.98B,"$25,984,954,750","319,644,202",2022-03-12 10:14:14
